sample	Genome	Mean	Relative_Abundance_Perc	Trimmed_Mean	Covered_Bases	Variance	Length	Read_Count	Reads_per_base	RPKM	TPM
1_depth10000000_spike0.00000_and_spike-allseqs_via_minimap2-sr	unmapped	NA	99.81847	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_spike-allseqs_via_minimap2-sr	Haloarcula_hispanica	0.015820783	0.004453852	0	1660	1.2756413	3896891	824	0.00021145062	5.829582	25056.281
1_depth10000000_spike0.00000_and_spike-allseqs_via_minimap2-sr	Salinibacter_ruber	0.6196573	0.17444532	0	2871	1357.6041	3587328	28801	0.008028538	221.34258	951358.5
1_depth10000000_spike0.00000_and_spike-allseqs_via_minimap2-sr	Trichoderma_reesei	0.009359677	0.0026349272	0	24489	0.33705467	33395712	6647	0.00019903753	5.4873605	23585.363
1_depth10000000_spike0.00000_and_spike-primaryseq_via_minimap2-sr	unmapped	NA	99.81847	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_spike-primaryseq_via_minimap2-sr	Trichoderma_reesei_other	0.009750391	0.0025872767	0	21574	0.35077783	29638724	6019	0.00020307892	5.5987787	22527.943
1_depth10000000_spike0.00000_and_spike-primaryseq_via_minimap2-sr	Haloarcula_hispanica_primary	0.011504818	0.0030528156	0	1097	0.8956539	3025665	502	0.00016591394	4.57416	18405.158
1_depth10000000_spike0.00000_and_spike-primaryseq_via_minimap2-sr	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_spike-primaryseq_via_minimap2-sr	Trichoderma_reesei_primary	0.006196965	0.0016443711	0	2573	0.22674514	3756989	628	0.00016715513	4.6083794	18542.844
1_depth10000000_spike0.00000_and_spike-primaryseq_via_minimap2-sr	Haloarcula_hispanica_other	0.030850217	0.008186137	0	637	2.5276928	871226	322	0.0003695941	10.189515	40999.8
1_depth10000000_spike0.00000_and_spike-primaryseq_via_minimap2-sr	Salinibacter_ruber_primary	0.62582564	0.16606349	0	2871	1371.1144	3551823	28801	0.008108794	223.55518	899524.6
1_depth10000000_spike0.00000_and_assembly-allseqs_via_minimap2-sr	unmapped	NA	99.81847	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_assembly-allseqs_via_minimap2-sr	Haloarcula_hispanica	0.015820783	0.004453852	0	1660	1.2756413	3896891	824	0.00021145062	5.829582	25056.281
1_depth10000000_spike0.00000_and_assembly-allseqs_via_minimap2-sr	Salinibacter_ruber	0.6196573	0.17444532	0	2871	1357.6041	3587328	28801	0.008028538	221.34258	951358.5
1_depth10000000_spike0.00000_and_assembly-allseqs_via_minimap2-sr	Trichoderma_reesei	0.009359677	0.0026349272	0	24489	0.33705467	33395712	6647	0.00019903753	5.4873605	23585.363
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_minimap2-sr	unmapped	NA	99.81847	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_minimap2-sr	Trichoderma_reesei_other	0.009750391	0.0025872767	0	21574	0.35077783	29638724	6019	0.00020307892	5.5987787	22527.943
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_minimap2-sr	Haloarcula_hispanica_primary	0.011504818	0.0030528156	0	1097	0.8956539	3025665	502	0.00016591394	4.57416	18405.158
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_minimap2-sr	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_minimap2-sr	Trichoderma_reesei_primary	0.006196965	0.0016443711	0	2573	0.22674514	3756989	628	0.00016715513	4.6083794	18542.844
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_minimap2-sr	Haloarcula_hispanica_other	0.030850217	0.008186137	0	637	2.5276928	871226	322	0.0003695941	10.189515	40999.8
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_minimap2-sr	Salinibacter_ruber_primary	0.62582564	0.16606349	0	2871	1371.1144	3551823	28801	0.008108794	223.55518	899524.6
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	unmapped	NA	14.108109	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.5	41.608727	4.1204333	41.514095	3343416	43.760525	3343496	928601	0.27773353	16.183142	47848.234
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.13	58.882797	5.831052	58.432487	2374164	93.880135	2374251	933250	0.39307132	22.903713	67718.77
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.1	142.52684	14.114162	142.67944	4290022	1631.8846	4295777	4112333	0.95729667	55.780327	164924.13
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	Haloarcula_hispanica	0	0	0	0	0	3896891	0	0	0	0
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.12	68.366234	6.770179	68.300674	2054938	70.477394	2054948	936858	0.4559035	26.564857	78543.56
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.14	27.694592	2.7425427	27.603281	5037921	28.637148	5037921	931050	0.18480837	10.768523	31838.994
