sample	Genome	Mean	Relative_Abundance_Perc	Trimmed_Mean	Covered_Bases	Variance	Length	Read_Count	Reads_per_base	RPKM	TPM
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperaw	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperaw	Haloarcula_hispanica	0	0	0	0	0	3896891	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperaw	Salinibacter_ruber	0	0	0	0	0	3587328	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperaw	Trichoderma_reesei	0.0000897731	0.000100096	0	687	0.000579039	33395712	20	0.0000005988793	29.943964	1000000
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperrnamasked	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperrnamasked	Salinibacter_ruber_primary_masked	0	0	0	0	0	3551823	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperrnamasked	Haloarcula_hispanica_other_masked	0	0	0	0	0	871226	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperrnamasked	Trichoderma_reesei_other	0.00010115662	0.000100096	0	687	0.0006524618	29638724	20	0.0000006747929	33.739647	1000000
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperrnamasked	Trichoderma_reesei_primary	0	0	0	0	0	3756989	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperrnamasked	Salinibacter_ruber_other_masked	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttyperrnamasked	Haloarcula_hispanica_primary_masked	0	0	0	0	0	3025665	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttypesplit	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttypesplit	Trichoderma_reesei_other	0.00010115662	0.000100096	0	687	0.0006524618	29638724	20	0.0000006747929	33.739647	1000000
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttypesplit	Haloarcula_hispanica_primary	0	0	0	0	0	3025665	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttypesplit	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttypesplit	Trichoderma_reesei_primary	0	0	0	0	0	3756989	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttypesplit	Haloarcula_hispanica_other	0	0	0	0	0	871226	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperminimap2-sr_quanttypesplit	Salinibacter_ruber_primary	0	0	0	0	0	3551823	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperaw	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperaw	Haloarcula_hispanica	0	0	0	0	0	3896891	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperaw	Salinibacter_ruber	0	0	0	0	0	3587328	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperaw	Trichoderma_reesei	0.0000897731	0.000100096	0	687	0.000579039	33395712	20	0.0000005988793	29.943964	1000000
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperrnamasked	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperrnamasked	Salinibacter_ruber_primary_masked	0	0	0	0	0	3551823	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperrnamasked	Haloarcula_hispanica_other_masked	0	0	0	0	0	871226	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperrnamasked	Trichoderma_reesei_other	0.00010115662	0.000100096	0	687	0.0006524618	29638724	20	0.0000006747929	33.739647	1000000
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperrnamasked	Trichoderma_reesei_primary	0	0	0	0	0	3756989	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperrnamasked	Salinibacter_ruber_other_masked	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttyperrnamasked	Haloarcula_hispanica_primary_masked	0	0	0	0	0	3025665	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttypesplit	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttypesplit	Trichoderma_reesei_other	0.00010115662	0.000100096	0	687	0.0006524618	29638724	20	0.0000006747929	33.739647	1000000
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttypesplit	Haloarcula_hispanica_primary	0	0	0	0	0	3025665	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttypesplit	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttypesplit	Trichoderma_reesei_primary	0	0	0	0	0	3756989	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttypesplit	Haloarcula_hispanica_other	0	0	0	0	0	871226	0	0	0	0
1_depth10000000_spike0.00000_offtargetnone_mapperbwa-mem_quanttypesplit	Salinibacter_ruber_primary	0	0	0	0	0	3551823	0	0	0	0
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperaw	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperaw	Haloarcula_hispanica	0	0	0	0	0	3896891	0	0	0	0
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperaw	Salinibacter_ruber	0	0	0	0	0	3587328	0	0	0	0
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperaw	Trichoderma_reesei	0.0000897731	0.000100096	0	687	0.000579039	33395712	20	0.0000005988793	29.943964	1000000
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperrnamasked	unmapped	NA	99.9999	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperrnamasked	Salinibacter_ruber_primary_masked	0	0	0	0	0	3551823	0	0	0	0
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperrnamasked	Haloarcula_hispanica_other_masked	0	0	0	0	0	871226	0	0	0	0
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperrnamasked	Trichoderma_reesei_other	0.00010115662	0.000100096	0	687	0.0006524618	29638724	20	0.0000006747929	33.739647	1000000
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperrnamasked	Trichoderma_reesei_primary	0	0	0	0	0	3756989	0	0	0	0
1_depth10000000_spike0.00000_offtargetzymo_mapperminimap2-sr_quanttyperrnamasked	Salinibacter_ruber_other_masked	0	0	0	0	0	35505	0	0	0	0
